,Name,Scopus ID,Coauthors
40,Brett Hilton,55148461400,"{'Wolfram Tetzlaff': 1, 'Tim Murphy': 1}"
41,Robin Hsiung,7005203713,"{'Teresa Liu-Ambrose': 1, 'Roger Tam': 1, 'Ian Mackenzie': 1, 'Fidel Vila-Rodriguez': 1, 'Alexander Rauscher': 1, 'Vesna Sossi': 1, 'Haakon Nygaard': 1, 'Neil Cashman': 1, 'Joanne Matsubara': 1, 'Liisa Galea': 1, 'Lara Boyd': 1, 'Thalia Field': 1, 'Cornelia Laule': 1, 'Weihong Song': 1, 'Dean Foti': 1, 'Helen Tremlett': 1, 'Cheryl Wellington': 1, 'Charles Krieger': 1, 'Donna Lang': 1, 'Sherri Hayden': 1, 'Trisha Chakrabarty': 1, 'Jon Stoessl': 1, 'Terry Snutch': 1}"
42,Tao Huan,55633182300,"{'Kiran Soma': 1, 'Silke Cresswell': 1}"
43,Judy Illes,7003845298,"{'Paul Pavlidis': 1, 'Paul van Donkelaar': 1, 'Julie Robillard': 1, 'Jon Stoessl': 1, 'Evelyn Stewart': 1, 'Sherri Hayden': 1, 'Wolfram Tetzlaff': 1, 'Tim Murphy': 1, 'Ruth Grunau': 1, 'David Li': 1, 'Anthony Phillips': 1}"
44,Hee Yeon Im,26434708900,{}
45,Wilfred Jefferies,7005219431,{'Dean Foti': 1}
46,Kamyar Keramatian,14060234300,"{'Trisha Chakrabarty': 1, 'Lakshmi Yatham': 1, 'Fidel Vila-Rodriguez': 1, 'Raymond Lam': 1, 'Daniel Vigo': 1, 'Donna Lang': 1}"
47,Shannon Kolind,13104405000,"{'Roger Tam': 1, 'Cornelia Laule': 1, 'Vesna Sossi': 1, 'Alexander Rauscher': 1, 'Cheryl Wellington': 1, 'Jacqueline Quandt': 1, 'Lara Boyd': 1, 'Piotr Kozlowski': 1, 'Martin McKeown': 1, 'John Kramer': 1, 'Donna Lang': 1, 'Neil Cashman': 1, 'Paul van Donkelaar': 1, 'Joel Oger': 1, 'David Li': 1, 'Tony Traboulsee': 1}"
48,Piotr Kozlowski,7103188726,"{'Blair Leavitt': 1, 'Cornelia Laule': 1, 'Roger Tam': 1, 'John Kramer': 1, 'Terry Snutch': 1, 'Brian MacVicar': 1, 'Alexander Rauscher': 1, 'Shannon Kolind': 1, 'Wolfram Tetzlaff': 1, 'Neil Cashman': 1, 'Vesna Sossi': 1, 'Peter Cripton': 1, 'David Li': 1, 'Joel Oger': 1}"
49,John Kramer,24722578700,"{'Cornelia Laule': 1, 'Piotr Kozlowski': 1, 'Roger Tam': 1, 'Lara Boyd': 1, 'Christopher West': 1, 'Wolfram Tetzlaff': 1, 'Shannon Kolind': 1, 'Donna Lang': 1, 'Alexander Rauscher': 1, 'Neil Cashman': 1}"
