,Name,Scopus ID,Document Count,Cited by,Coauthors,Affiliation
30,Silke Appel-Cresswell,36237882900,46,2909,"{'Brian A. MacVicar': 1, 'Fidel Vila-Rodriguez': 1, 'Martin McKeown': 14, 'Lara A. Boyd': 1, 'A. Jon Stoessl': 14, 'Vesna Sossi': 6, 'Z. Jane Wang': 2}",Djavad Mowafaghian Centre for Brain Health
31,Helge Rhodin,55860139200,52,2297,"{'Timothy H. Murphy': 3, 'Z. Jane Wang': 2, 'Jeffrey M. LeDue': 1, 'Leonid Sigal': 1}",The University of British Columbia
32,Manu S. Madhav,35146488900,13,239,{},Biomedical Engineering
33,Brian Fisher,56363838400,96,1488,{},Simon Fraser University
34,Leigh Anne Swayne,7004454250,53,1349,"{'Brian A. MacVicar': 1, 'Craig E. Brown': 1}",Division of Medical Sciences
35,Craig E. Brown,7408311558,38,2024,"{'Leigh Anne Swayne': 1, 'Timothy H. Murphy': 6}",Department of Psychiatry
36,Adrienne L. Fairhall,6602928622,69,3823,{'Eric T. Shea-Brown': 3},University of Washington
37,Eric T. Shea-Brown,15065850600,82,4264,{'Adrienne L. Fairhall': 3},Department of Applied Mathematics
38,Emily Lauren Sylwestrak,26634611400,10,1308,{},Department of Biology
39,Andy Y. Shih,9239638800,73,5640,{'Timothy H. Murphy': 9},Department of Pediatrics
40,Todd Stephen Woodward,7102848867,184,8433,"{'Lara A. Boyd': 2, 'Vesna Sossi': 1, 'Jeremy Keith Seamans': 1, 'Anthony G. Phillips': 1}","University of British Columbia, Faculty of Medicine"
41,Jeffrey M. LeDue,56371437500,37,1666,"{'Terrance P. Snutch': 3, 'Brian A. MacVicar': 11, 'Paul Pavlidis': 1, 'Timothy H. Murphy': 25, 'Helge Rhodin': 1, 'Lynn A. Raymond': 1, 'YuTian Wang': 3}",Djavad Mowafaghian Centre for Brain Health
42,Ilker Hacihaliloglu,24467768400,70,1308,{'Purang Abolmaesumi': 11},Department of Medicine
43,Anthony Randal McIntosh,35465675000,297,28468,{},Institute for Neuroscience and Neurotechnology
44,Purang Abolmaesumi,6602170125,358,6020,{'Ilker Hacihaliloglu': 11},Department of Electrical & Computer Engineering
45,Vesna Sossi,56276238300,334,13625,"{'Martin McKeown': 11, 'A. Jon Stoessl': 73, 'Ian Mackenzie': 2, 'Silke Appel-Cresswell': 6, 'Lara A. Boyd': 1, 'Todd Stephen Woodward': 1, 'Catharine A. Winstanley': 1, 'Anthony G. Phillips': 2}",Department of Physics and Astronomy
